# Every library live on Libby. Tab separated: key, name, region, kind, places.
# Written by tools/seed_libraries.py, loaded into the database at startup.
britanicolibrary	Británico Library		college
britishcouncil	British Council Libraries Consortium		company
broadmead	Broadmead Inc		company
brooklyn	Brooklyn Public Library		public	adams street arlington bay ridge bedford park brighton beach heights brower brownsville bushwick canarsie carroll gardens clarendon clinton hill coney island cortelyou crown cypress hills dekalb dyker flatbush eastern parkway flatlands hamilton gerritsen gravesend greenpoint highlawn homecrest jamaica kensington kings highway leonard for arts culture macon mapleton marcy mckinley midwood mill basin new lots utrecht pacific paerdegat slope red hook rugby ryder saratoga sheepshead spring creek stone avenue sunset ulmer walt whitman washington irving williamsburgh windsor terrace
broward	Broward County Library		public	african american research cultural alvin sherman information technology nova southeastern beach carver ranches century plaza dania paul demaio davie cooper deerfield percy white lauderdale galt ocean mile reading hallandale hollywood bernice oster imperial point jan moran collier learning lakes lauderhill mall towne margate catharine young miramar education saraniero northwest pembroke pines walter pompano riverland southwest stirling road sunrise dan pearl tamarac tyrone bryant weston
brownsville	Brownsville Public Library System	USA	public	southmost
brrl	Blue Ridge Regional Library	VA, USA	public	bassett collinsville patrick ridgeway
bruneluniversity	Brunel University	United Kingdom	college
brunswickcounty	Brunswick County Library	USA	public	barbee harper leland rourk southwest
bswhlibrary	BaylorScott&White Health Library		company
buckinghamshire	Buckinghamshire Council	United Kingdom	public	amersham aylesbury beaconsfield bourne end buckingham culture burnham chalfont giles peter chesham farnham common flackwell heath gerrards cross great missenden haddenham hazlemere high wycombe iver ivinghoe long crendon marlow micklefield princes risborough wendover wing winslow
buddhistlibrary	Buddhist Library	Australia	company
buenapark	Buena Park Library District	CA, USA	public
buffalo	Buffalo & Erie County Public Library		public	alden amherst clearfield angola aurora boston cheektowaga anna reinstein tonawanda clarence collins concord crane dudley clinton eden eggertsville snyder elaine panty elma frank merriweather grand island hamburg hon shirley chisholm formerly audubon isaias gonzalez soto kenilworth kenmore lackawanna lake shore lancaster leroy coles marilla newstead park orchard julia boyer seneca williamsville
burbank	Burbank Public Library	USA	public	buena vista northwest
burlington	Burlington County Library System	NJ, USA	public	bordentown cinnaminson evesham maple shade pemberton pinelands riverton
burlingtonpl	Burlington Public Library	Canada	public	aldershot alton brant hills kilbride new appleby tansley woods
burnaby	Burnaby Public Library	Canada	public	bob prittie metrotown cameron mcgill tommy douglas
burnsmcdonnell	Burns & McDonnell Engineering Co. Inc.		company
burycounciluk	Bury Council Libraries		public
buttecollege	Butte College		college
bw	Overdrive Baden-Württemberg	Germany	public	bibliothek berufliches schulzentrum heidenheim bucherei forum bodelshausen der storchenkelter kirchheim mediathek bad krozingen mediothek balingen pliezhausen ortsbucherei leutenbach schnapperei gingen stadtbibliothek achern ditzingen filderstadt freiberg goppingen heilbronn reutlingen tuttlingen villingen schwenningen stadtbucherei albstadt donzdorf esslingen neckar fellbach horb leinfelden echterdingen nurtingen ostfildern schelklingen sussen vaihingen waiblingen walldorf
byu	Brigham Young University	USA	college	hawaii byu idaho pathway ensign
cabconc	Cabarrus County Public Library		public	harrisburg kannapolis pleasant
cabq	Public Library Albuquerque and Bernalillo County		public	alamosa robert murphy unser cherry hills mountain erna fergusson ernie pyle international juan tabo lomas tramway los griegos rudolfo anaya valley san pedro broadway special collections taylor ranch tony hillerman westgate
cachecounty	Cache County Library		public
caerphillyuk	Caerphilly Library Service		public
cairnmillar	Cairnmillar Institute	Australia	company
cairnsqld	Cairns Libraries	Australia	public	babinda libary earlville edmonton gordonvale manunda smithfield stratford
cairnuniversity	Cairn University	USA	college
calbcsg	Calvary Baptist Church Singapore		company
calderdalenhs	Calderdale and Huddersfield NHS Foundation Trust	United Kingdom	company
calderdaleuk	Calderdale Council		public	schools cross lane primary
calgary	Calgary Public Library	Canada	public	bowness country hills crowfoot fish creek forest lawn giuffre family glenmore square judith umbach louise riley park nose hill shaganappi shawnessy signal southwood castell
calibreaudio	Calibre Audio	United Kingdom	company
californiacf	California Correctional Facilities		company
californiajewishlibraries	California Jewish Library Digital Book Consortium	USA	company	sperber
cals	Central Arkansas Library System	USA	public	adolphine fletcher terry amy sanders for medical sciences bobby roberts childrens learning cox creative dee brown esther dewitt nixon john gould maumelle max milam millie brooks oley rooker roosevelt thompson sidney mcmath sue cowan williams
calstatelb	California State University-Long Beach	USA	college
caltech	California Institute of Technology	USA	college
